"fecha","ciudad","lluvia_mm","temp_max","viento_max","humedad_pm","presion_pm","nubosidad_pm"
2009-01-01,"Sydney",0,35.1,72,13,1000.2,6
2009-01-02,"Sydney",0,23,63,58,1014.1,6
2009-01-04,"Sydney",0,27.1,65,51,1014.9,1
2009-01-05,"Sydney",0,31.6,63,52,1008,3
2009-01-06,"Sydney",0,29.7,41,54,1007.8,1
2009-01-07,"Sydney",0,34.9,59,52,1004.7,7
2009-01-08,"Sydney",0.2,21.7,56,78,1013.6,8
2009-01-09,"Sydney",0,22.9,50,44,1018.8,5
2009-01-10,"Sydney",0,24,48,44,1013.8,6
2009-01-11,"Sydney",0,26.6,54,48,1011.3,1
2009-01-12,"Sydney",0.8,24,39,72,1016.5,3
2009-01-13,"Sydney",0.6,27.9,59,48,1016.1,1
2009-01-14,"Sydney",0,32,67,39,1010.5,1
2009-01-15,"Sydney",0,38.8,81,43,1006.6,6
2009-01-16,"Sydney",5.4,26.3,54,54,1008.9,0
2009-01-17,"Sydney",0,20.7,54,57,1020.8,3
2009-01-18,"Sydney",0,25,43,43,1019.8,1
2009-01-19,"Sydney",0,27.3,59,49,1014.7,6
2009-01-20,"Sydney",0,31.7,67,38,1009.9,1
2009-01-21,"Sydney",3,33.7,59,45,1007.6,3
2009-01-22,"Sydney",0.6,34.6,63,40,1004.8,5
2009-01-23,"Sydney",0,32.1,80,56,1007.3,1
2009-01-24,"Sydney",0,41.8,69,37,1002.9,2
2009-01-25,"Sydney",0,25,44,52,1018.5,4
2009-01-26,"Sydney",0,24.9,39,81,1019.3,7
2009-01-27,"Sydney",8.2,24.6,39,96,1020.1,8
2009-01-28,"Sydney",0.2,29.4,54,50,1015.5,0
2009-01-29,"Sydney",0,30,57,59,1016.2,1
2009-01-30,"Sydney",0,30.2,61,48,1015.4,0
2009-01-31,"Sydney",0,31.2,61,51,1013.9,3
2009-02-01,"Sydney",0,28.2,41,69,1016.2,6
2009-02-02,"Sydney",0,30.4,63,48,1011.8,3
2009-02-03,"Sydney",0,28.3,46,63,1010.2,5
2009-02-04,"Sydney",0,28,37,64,1009.2,3
2009-02-05,"Sydney",0,31.5,63,52,1005.4,1
2009-02-06,"Sydney",0,31.7,59,53,1008.1,1
2009-02-07,"Sydney",0,34.9,67,32,1009.9,0
2009-02-08,"Sydney",0,31.1,59,43,1007.1,1
2009-02-09,"Sydney",0,21.5,57,88,1011.7,8
2009-02-10,"Sydney",1.2,19.5,54,88,1010.2,8
2009-02-11,"Sydney",2.8,22.1,56,70,1011.3,7
2009-02-13,"Sydney",1.8,20.2,52,95,1025.1,8
2009-02-14,"Sydney",41.8,21.3,52,82,1019.5,8
2009-02-15,"Sydney",14,23.2,54,85,1014.1,8
2009-02-16,"Sydney",16.6,24.6,61,58,1017.8,6
2009-02-17,"Sydney",3.6,22.8,50,69,1015.6,8
2009-02-20,"Sydney",0,27.4,31,63,1010.1,2
2009-02-21,"Sydney",0,24.2,33,91,1013.6,7
2009-02-22,"Sydney",2.6,25.1,30,61,1017.5,3
2009-02-23,"Sydney",0,28.8,52,58,1012.7,4
2009-02-24,"Sydney",0,27.8,56,77,1013.5,1
2009-02-25,"Sydney",0,25.8,37,66,1014.8,3
2009-02-26,"Sydney",0,23,48,59,1018.8,2
2009-02-27,"Sydney",0,23.9,33,50,1015.7,2
2009-02-28,"Sydney",0,27.7,37,53,1006.6,2
2009-03-01,"Sydney",0,26.1,31,56,1010.8,5
2009-03-02,"Sydney",0,26.6,44,56,1015.1,6
2009-03-03,"Sydney",0,28.3,44,51,1014.9,6
2009-03-04,"Sydney",0,25.9,57,46,1008.7,8
2009-03-06,"Sydney",17.6,23.7,43,45,1011.4,1
2009-03-07,"Sydney",0,25.5,30,63,1011.8,1
2009-03-08,"Sydney",0,22.9,50,89,1018.8,8
2009-03-09,"Sydney",0,24.3,39,71,1020.3,6
2009-03-10,"Sydney",0.2,25.1,39,52,1021.4,7
2009-03-11,"Sydney",0.4,23.9,41,69,1022.8,7
2009-03-13,"Sydney",0,25.8,28,68,1016,7
2009-03-14,"Sydney",0,29.3,69,59,1009.8,5
2009-03-15,"Sydney",25.6,27.3,35,54,1007.4,3
2009-03-16,"Sydney",0.2,27.6,43,21,1008,1
2009-03-17,"Sydney",0,24.1,41,59,1012.6,1
2009-03-18,"Sydney",0,26.3,43,47,1015.9,1
2009-03-20,"Sydney",0,28.6,37,54,1016.4,1
2009-03-22,"Sydney",0,28,57,49,1014.8,6
2009-03-23,"Sydney",1.4,27.9,46,51,1014.8,3
2009-03-24,"Sydney",0,28.2,54,53,1015.9,2
2009-03-25,"Sydney",0,29.1,50,52,1017,6
2009-03-26,"Sydney",3.8,30.9,56,52,1016.2,7
2009-03-27,"Sydney",0.8,22.4,56,61,1023.9,7
2009-03-28,"Sydney",0.4,24.9,35,46,1022.9,1
2009-03-30,"Sydney",0,24.8,59,64,1022.3,5
2009-03-31,"Sydney",1.6,22,65,89,1020.4,8
2009-04-01,"Sydney",43.4,25.2,56,66,1021.1,7
2009-04-02,"Sydney",4,25.3,44,76,1021.8,7
2009-04-03,"Sydney",5.2,26.8,43,66,1016.6,5
2009-04-04,"Sydney",1.2,20.2,59,66,1019.2,8
2009-04-05,"Sydney",0,23.9,43,58,1014.1,4
2009-04-06,"Sydney",0,19.7,54,64,1019.7,3
2009-04-07,"Sydney",0,19.6,54,61,1024.5,2
2009-04-08,"Sydney",0,20.8,44,66,1024.9,5
2009-04-09,"Sydney",0,23.2,31,56,1022,3
2009-04-10,"Sydney",0,25.6,22,56,1020.6,5
2009-04-11,"Sydney",0,24.8,19,58,1022.7,7
2009-04-13,"Sydney",0,22.4,43,96,1019.2,8
2009-04-16,"Sydney",0,24.7,43,36,1011.4,0
2009-04-17,"Sydney",0,21.5,43,64,1015.8,1
2009-04-18,"Sydney",0,21.1,59,62,1018.3,4
2009-04-20,"Sydney",5,20.7,61,72,1018.8,8
2009-04-21,"Sydney",1.4,21.8,52,87,1021.6,7
2009-04-22,"Sydney",7.4,22,46,72,1022.4,7
2009-04-23,"Sydney",3.4,21,26,61,1018.1,3
2009-04-24,"Sydney",0,24.9,56,61,1006.2,7
2009-04-26,"Sydney",0,20.6,74,22,1002.9,2
2009-04-27,"Sydney",0,19.4,50,26,1012.7,1
2009-04-28,"Sydney",0,21.5,59,30,1015.1,1
2009-04-29,"Sydney",0,16.9,59,69,1019.6,7
2009-04-30,"Sydney",5,16.8,50,91,1020.4,7
2009-05-01,"Sydney",3.2,22.4,26,39,1020.5,5
2009-05-02,"Sydney",0,20,43,69,1022.7,3
2009-05-03,"Sydney",11.4,19.9,39,66,1025.5,2
2009-05-04,"Sydney",0,23.6,37,54,1025.3,1
2009-05-05,"Sydney",2.2,19,41,69,1028.2,4
2009-05-06,"Sydney",0.8,22.6,30,60,1023.2,3
2009-05-07,"Sydney",0,21.3,39,58,1021.8,1
2009-05-08,"Sydney",0,18.8,50,70,1025,2
2009-05-09,"Sydney",0,21.7,39,49,1020.2,1
2009-05-10,"Sydney",1,19,50,57,1023.5,5
2009-05-11,"Sydney",6.4,19,22,49,1022.3,4
2009-05-12,"Sydney",0,19.5,33,66,1018.1,6
2009-05-13,"Sydney",0,22,37,30,1012.6,2
2009-05-14,"Sydney",0,21.9,56,27,1010.8,3
2009-05-15,"Sydney",0,22.2,61,32,1009.7,3
2009-05-16,"Sydney",0,22.9,72,37,1008.2,4
2009-05-17,"Sydney",0,18.1,48,48,1017.7,2
2009-05-18,"Sydney",0,19.8,28,57,1023.3,5
